sample,flux
average,-0.0013500680803917
105,-0.0013117146400062
107,-0.0005541605658718
109,-0.0013109147822724
12,-0.0007694912400858
17,-0.0020250379692425
182,-0.0018756272235755
191,-0.00013917479377
23,-0.0001838380929302
74,-0.0001362888791272
95,-9.851546082692346e-05
