,max,min,median,IQR
ac,0.0030150448965973,0.00016104812342,0.00145451695085095,0.0022149918079376
ala,4.028447198444845e-05,-0.0,1.8576490592343564e-05,2.5748873457270892e-05
arab,1.8278482888525048e-05,-0.0,0.0,8.914846801471335e-06
but,0.0006887711091528,-0.0,0.00020987068566019997,0.0003580669146666699
for,0.0031194186113049,4.4378763704572585e-05,0.0007513508181808499,0.001380323195299425
gal,0.0001415225229564,-0.0,1.1250458749422598e-06,4.2265903602825474e-05
glyc,0.0006228277592429,-0.0,8.430968419835704e-06,0.00018868407080888488
gly,8.052993868112652e-05,-0.0,0.0,0.0
indole,0.0001298232885741,-0.0,2.399891316828761e-06,3.329437855621111e-05
meoh,0.0001947010530539,2.318326774647801e-05,5.854436865229694e-05,9.569571944685082e-05
nh4,0.0024354115365147,7.12881860260794e-05,0.0013663480178824502,0.0016804843441255001
phe,-0.0,-0.0,0.0,0.0
ppa,0.0020250379692425,9.851546082692346e-05,0.0006618259029788,0.0011611740570127
ptrc,0.0001946131608962,5.297812279242406e-06,4.044967029075655e-05,1.837589472453584e-05
rbflvrd,0.0005944231084866,-0.0,0.00015816165084270162,0.0002446037105922743
succ,0.0013078656936346,2.151560119359812e-05,0.0003255167688953,0.0003751163889805
4abut,0.000465508764804,-0.0,0.0,1.1438994070029171e-05
