sample,flux
average,-0.0002976987745953
105,-0.0005944231084866
107,-0.0002347683140672
109,-0.0005453634691491
12,-0.0002503007331049
17,0.0
182,-0.0003166532726783
191,-8.155498761820325e-05
23,-8.125119132941077e-05
74,-4.6864839147097306e-05
95,0.0
