sample,flux
average,-0.0002378116637923
105,-0.0001166192358801
107,-4.17570839132712e-05
109,-1.4363578608594805e-05
12,-5.5302977959063306e-05
17,-4.678613508054043e-05
182,-0.0001946131608962
191,-3.91422566682419e-05
23,-3.3655872862687574e-05
74,-3.822387147152429e-05
95,-5.297812279242406e-06
