,flux,reaction,metabolite
EX_MGlcn160_rl_medium,0.0,EX_MGlcn160_rl_medium,MGlcn160_rl_medium
EX_MGlcn161_medium,0.0,EX_MGlcn161_medium,MGlcn161_medium
EX_MGlcn161_rl_medium,0.0,EX_MGlcn161_rl_medium,MGlcn161_rl_medium
EX_MGlcn162_medium,0.0,EX_MGlcn162_medium,MGlcn162_medium
EX_MGlcn162_rl_medium,0.0,EX_MGlcn162_rl_medium,MGlcn162_rl_medium
EX_MGlcn163_medium,0.0,EX_MGlcn163_medium,MGlcn163_medium
EX_MGlcn163_rl_medium,0.0,EX_MGlcn163_rl_medium,MGlcn163_rl_medium
EX_MGlcn164_medium,0.0,EX_MGlcn164_medium,MGlcn164_medium
EX_MGlcn164_rl_medium,0.0,EX_MGlcn164_rl_medium,MGlcn164_rl_medium
EX_MGlcn165_medium,0.0,EX_MGlcn165_medium,MGlcn165_medium
EX_MGlcn165_rl_medium,0.0,EX_MGlcn165_rl_medium,MGlcn165_rl_medium
EX_MGlcn166_medium,0.0,EX_MGlcn166_medium,MGlcn166_medium
EX_MGlcn166_rl_medium,0.0,EX_MGlcn166_rl_medium,MGlcn166_rl_medium
EX_MGlcn167_medium,0.0,EX_MGlcn167_medium,MGlcn167_medium
EX_MGlcn167_rl_medium,0.0,EX_MGlcn167_rl_medium,MGlcn167_rl_medium
EX_MGlcn168_medium,0.0,EX_MGlcn168_medium,MGlcn168_medium
EX_MGlcn168_rl_medium,0.0,EX_MGlcn168_rl_medium,MGlcn168_rl_medium
EX_MGlcn169_medium,0.0,EX_MGlcn169_medium,MGlcn169_medium
EX_MGlcn169_rl_medium,0.0,EX_MGlcn169_rl_medium,MGlcn169_rl_medium
EX_MGlcn16_medium,0.0,EX_MGlcn16_medium,MGlcn16_medium
EX_MGlcn16_rl_medium,0.0,EX_MGlcn16_rl_medium,MGlcn16_rl_medium
EX_MGlcn170_medium,0.0,EX_MGlcn170_medium,MGlcn170_medium
EX_MGlcn170_rl_medium,0.0,EX_MGlcn170_rl_medium,MGlcn170_rl_medium
EX_MGlcn171_medium,0.0,EX_MGlcn171_medium,MGlcn171_medium
EX_MGlcn171_rl_medium,0.0,EX_MGlcn171_rl_medium,MGlcn171_rl_medium
EX_MGlcn172_medium,0.0,EX_MGlcn172_medium,MGlcn172_medium
EX_MGlcn172_rl_medium,0.0,EX_MGlcn172_rl_medium,MGlcn172_rl_medium
EX_MGlcn173_medium,0.0,EX_MGlcn173_medium,MGlcn173_medium
EX_MGlcn173_rl_medium,0.0,EX_MGlcn173_rl_medium,MGlcn173_rl_medium
EX_MGlcn174_medium,0.0,EX_MGlcn174_medium,MGlcn174_medium
EX_MGlcn175_rl_medium,0.0,EX_MGlcn175_rl_medium,MGlcn175_rl_medium
EX_MGlcn176_medium,0.0,EX_MGlcn176_medium,MGlcn176_medium
EX_MGlcn176_rl_medium,0.0,EX_MGlcn176_rl_medium,MGlcn176_rl_medium
EX_MGlcn177_medium,0.0,EX_MGlcn177_medium,MGlcn177_medium
EX_MGlcn177_rl_medium,0.0,EX_MGlcn177_rl_medium,MGlcn177_rl_medium
EX_MGlcn178_rl_medium,0.0,EX_MGlcn178_rl_medium,MGlcn178_rl_medium
EX_MGlcn179_medium,0.0,EX_MGlcn179_medium,MGlcn179_medium
EX_MGlcn179_rl_medium,0.0,EX_MGlcn179_rl_medium,MGlcn179_rl_medium
EX_MGlcn17_medium,0.0,EX_MGlcn17_medium,MGlcn17_medium
EX_MGlcn17_rl_medium,0.0,EX_MGlcn17_rl_medium,MGlcn17_rl_medium
EX_MGlcn180_medium,0.0,EX_MGlcn180_medium,MGlcn180_medium
EX_MGlcn180_rl_medium,0.0,EX_MGlcn180_rl_medium,MGlcn180_rl_medium
EX_MGlcn181_medium,0.0,EX_MGlcn181_medium,MGlcn181_medium
EX_MGlcn181_rl_medium,0.0,EX_MGlcn181_rl_medium,MGlcn181_rl_medium
EX_MGlcn182_medium,0.0,EX_MGlcn182_medium,MGlcn182_medium
EX_MGlcn182_rl_medium,0.0,EX_MGlcn182_rl_medium,MGlcn182_rl_medium
EX_MGlcn183_medium,0.0,EX_MGlcn183_medium,MGlcn183_medium
EX_MGlcn183_rl_medium,0.0,EX_MGlcn183_rl_medium,MGlcn183_rl_medium
EX_MGlcn185_medium,0.0,EX_MGlcn185_medium,MGlcn185_medium
EX_MGlcn185_rl_medium,0.0,EX_MGlcn185_rl_medium,MGlcn185_rl_medium
EX_MGlcn186_medium,0.0,EX_MGlcn186_medium,MGlcn186_medium
EX_MGlcn186_rl_medium,0.0,EX_MGlcn186_rl_medium,MGlcn186_rl_medium
EX_MGlcn187_medium,0.0,EX_MGlcn187_medium,MGlcn187_medium
EX_MGlcn187_rl_medium,0.0,EX_MGlcn187_rl_medium,MGlcn187_rl_medium
EX_MGlcn188_medium,0.0,EX_MGlcn188_medium,MGlcn188_medium
EX_MGlcn188_rl_medium,0.0,EX_MGlcn188_rl_medium,MGlcn188_rl_medium
EX_MGlcn189_medium,0.0,EX_MGlcn189_medium,MGlcn189_medium
EX_MGlcn189_rl_medium,0.0,EX_MGlcn189_rl_medium,MGlcn189_rl_medium
EX_MGlcn18_medium,0.0,EX_MGlcn18_medium,MGlcn18_medium
EX_MGlcn18_rl_medium,0.0,EX_MGlcn18_rl_medium,MGlcn18_rl_medium
EX_MGlcn190_medium,0.0,EX_MGlcn190_medium,MGlcn190_medium
EX_MGlcn190_rl_medium,0.0,EX_MGlcn190_rl_medium,MGlcn190_rl_medium
EX_MGlcn191_medium,0.0,EX_MGlcn191_medium,MGlcn191_medium
EX_MGlcn191_rl_medium,0.0,EX_MGlcn191_rl_medium,MGlcn191_rl_medium
EX_MGlcn192_medium,0.0,EX_MGlcn192_medium,MGlcn192_medium
EX_MGlcn192_rl_medium,0.0,EX_MGlcn192_rl_medium,MGlcn192_rl_medium
EX_MGlcn193_medium,0.0,EX_MGlcn193_medium,MGlcn193_medium
EX_MGlcn193_rl_medium,0.0,EX_MGlcn193_rl_medium,MGlcn193_rl_medium
EX_MGlcn194_medium,0.0,EX_MGlcn194_medium,MGlcn194_medium
EX_MGlcn194_rl_medium,0.0,EX_MGlcn194_rl_medium,MGlcn194_rl_medium
EX_MGlcn195_medium,0.0,EX_MGlcn195_medium,MGlcn195_medium
EX_MGlcn195_rl_medium,0.0,EX_MGlcn195_rl_medium,MGlcn195_rl_medium
EX_MGlcn196_medium,0.0,EX_MGlcn196_medium,MGlcn196_medium
EX_MGlcn196_rl_medium,0.0,EX_MGlcn196_rl_medium,MGlcn196_rl_medium
EX_MGlcn19_medium,0.0,EX_MGlcn19_medium,MGlcn19_medium
EX_MGlcn19_rl_medium,0.0,EX_MGlcn19_rl_medium,MGlcn19_rl_medium
EX_MGlcn20_medium,0.0,EX_MGlcn20_medium,MGlcn20_medium
EX_MGlcn20_rl_medium,0.0,EX_MGlcn20_rl_medium,MGlcn20_rl_medium
EX_MGlcn21_medium,0.0,EX_MGlcn21_medium,MGlcn21_medium
EX_MGlcn21_rl_medium,0.0,EX_MGlcn21_rl_medium,MGlcn21_rl_medium
EX_MGlcn22_medium,0.0,EX_MGlcn22_medium,MGlcn22_medium
EX_MGlcn22_rl_medium,0.0,EX_MGlcn22_rl_medium,MGlcn22_rl_medium
EX_MGlcn23_medium,0.0,EX_MGlcn23_medium,MGlcn23_medium
EX_MGlcn23_rl_medium,0.0,EX_MGlcn23_rl_medium,MGlcn23_rl_medium
EX_MGlcn24_medium,0.0,EX_MGlcn24_medium,MGlcn24_medium
EX_MGlcn24_rl_medium,0.0,EX_MGlcn24_rl_medium,MGlcn24_rl_medium
EX_MGlcn25_medium,0.0,EX_MGlcn25_medium,MGlcn25_medium
EX_MGlcn25_rl_medium,0.0,EX_MGlcn25_rl_medium,MGlcn25_rl_medium
EX_MGlcn26_medium,0.0,EX_MGlcn26_medium,MGlcn26_medium
EX_MGlcn26_rl_medium,0.0,EX_MGlcn26_rl_medium,MGlcn26_rl_medium
EX_MGlcn27_medium,0.0,EX_MGlcn27_medium,MGlcn27_medium
EX_MGlcn27_rl_medium,0.0,EX_MGlcn27_rl_medium,MGlcn27_rl_medium
EX_MGlcn28_medium,0.0,EX_MGlcn28_medium,MGlcn28_medium
EX_MGlcn28_rl_medium,0.0,EX_MGlcn28_rl_medium,MGlcn28_rl_medium
EX_MGlcn29_medium,0.0,EX_MGlcn29_medium,MGlcn29_medium
EX_MGlcn29_rl_medium,0.0,EX_MGlcn29_rl_medium,MGlcn29_rl_medium
EX_MGlcn2_medium,0.0,EX_MGlcn2_medium,MGlcn2_medium
EX_MGlcn2_rl_medium,0.0,EX_MGlcn2_rl_medium,MGlcn2_rl_medium
EX_MGlcn30_medium,0.0,EX_MGlcn30_medium,MGlcn30_medium
EX_MGlcn30_rl_medium,0.0,EX_MGlcn30_rl_medium,MGlcn30_rl_medium
EX_MGlcn31_medium,0.0,EX_MGlcn31_medium,MGlcn31_medium
EX_MGlcn31_rl_medium,0.0,EX_MGlcn31_rl_medium,MGlcn31_rl_medium
EX_MGlcn32_medium,0.0,EX_MGlcn32_medium,MGlcn32_medium
EX_MGlcn32_rl_medium,0.0,EX_MGlcn32_rl_medium,MGlcn32_rl_medium
EX_MGlcn33_medium,0.0,EX_MGlcn33_medium,MGlcn33_medium
EX_MGlcn33_rl_medium,0.0,EX_MGlcn33_rl_medium,MGlcn33_rl_medium
EX_MGlcn34_medium,0.0,EX_MGlcn34_medium,MGlcn34_medium
EX_MGlcn34_rl_medium,0.0,EX_MGlcn34_rl_medium,MGlcn34_rl_medium
EX_MGlcn35_medium,0.0,EX_MGlcn35_medium,MGlcn35_medium
EX_MGlcn35_rl_medium,0.0,EX_MGlcn35_rl_medium,MGlcn35_rl_medium
EX_MGlcn36_medium,0.0,EX_MGlcn36_medium,MGlcn36_medium
EX_MGlcn36_rl_medium,0.0,EX_MGlcn36_rl_medium,MGlcn36_rl_medium
EX_MGlcn37_medium,0.0,EX_MGlcn37_medium,MGlcn37_medium
EX_MGlcn37_rl_medium,0.0,EX_MGlcn37_rl_medium,MGlcn37_rl_medium
EX_MGlcn38_medium,0.0,EX_MGlcn38_medium,MGlcn38_medium
EX_MGlcn38_rl_medium,0.0,EX_MGlcn38_rl_medium,MGlcn38_rl_medium
EX_MGlcn39_medium,0.0,EX_MGlcn39_medium,MGlcn39_medium
EX_MGlcn39_rl_medium,0.0,EX_MGlcn39_rl_medium,MGlcn39_rl_medium
EX_MGlcn3_medium,0.0,EX_MGlcn3_medium,MGlcn3_medium
EX_MGlcn3_rl_medium,0.0,EX_MGlcn3_rl_medium,MGlcn3_rl_medium
EX_MGlcn40_medium,0.0,EX_MGlcn40_medium,MGlcn40_medium
EX_MGlcn40_rl_medium,0.0,EX_MGlcn40_rl_medium,MGlcn40_rl_medium
EX_MGlcn41_medium,0.0,EX_MGlcn41_medium,MGlcn41_medium
EX_MGlcn41_rl_medium,0.0,EX_MGlcn41_rl_medium,MGlcn41_rl_medium
EX_MGlcn42_medium,0.0,EX_MGlcn42_medium,MGlcn42_medium
EX_MGlcn42_rl_medium,0.0,EX_MGlcn42_rl_medium,MGlcn42_rl_medium
EX_MGlcn45_medium,0.0,EX_MGlcn45_medium,MGlcn45_medium
EX_MGlcn45_rl_medium,0.0,EX_MGlcn45_rl_medium,MGlcn45_rl_medium
EX_MGlcn46_medium,0.0,EX_MGlcn46_medium,MGlcn46_medium
EX_MGlcn46_rl_medium,0.0,EX_MGlcn46_rl_medium,MGlcn46_rl_medium
EX_MGlcn47_medium,0.0,EX_MGlcn47_medium,MGlcn47_medium
EX_MGlcn47_rl_medium,0.0,EX_MGlcn47_rl_medium,MGlcn47_rl_medium
EX_MGlcn48_medium,0.0,EX_MGlcn48_medium,MGlcn48_medium
EX_MGlcn48_rl_medium,0.0,EX_MGlcn48_rl_medium,MGlcn48_rl_medium
EX_MGlcn4_medium,0.0,EX_MGlcn4_medium,MGlcn4_medium
EX_MGlcn4_rl_medium,0.0,EX_MGlcn4_rl_medium,MGlcn4_rl_medium
