,flux,reaction,metabolite
EX_asn_L_medium,1e-06,EX_asn_L_medium,asn_L_medium
EX_asp_L_medium,0.0006908823783610775,EX_asp_L_medium,asp_L_medium
EX_ca2_medium,1.0000000000000004e-06,EX_ca2_medium,ca2_medium
EX_cgly_medium,1e-06,EX_cgly_medium,cgly_medium
EX_cholate_medium,1e-06,EX_cholate_medium,cholate_medium
EX_chor_medium,1e-06,EX_chor_medium,chor_medium
EX_chtbs_medium,1.2455284549376071e-07,EX_chtbs_medium,chtbs_medium
EX_cit_medium,1e-06,EX_cit_medium,cit_medium
EX_cl_medium,1.0000000000000004e-06,EX_cl_medium,cl_medium
EX_cobalt2_medium,9.298415042353286e-07,EX_cobalt2_medium,cobalt2_medium
EX_core4_medium,1e-06,EX_core4_medium,core4_medium
EX_core4_rl_medium,1e-06,EX_core4_rl_medium,core4_rl_medium
EX_csn_medium,1e-06,EX_csn_medium,csn_medium
EX_cu2_medium,1.0000000000000004e-06,EX_cu2_medium,cu2_medium
EX_cys_L_medium,1.4377023592848534e-05,EX_cys_L_medium,cys_L_medium
EX_cytd_medium,1e-06,EX_cytd_medium,cytd_medium
EX_dad_2_medium,1e-06,EX_dad_2_medium,dad_2_medium
EX_dcyt_medium,1e-06,EX_dcyt_medium,dcyt_medium
EX_ddca_medium,1.1279126864449908e-05,EX_ddca_medium,ddca_medium
EX_dextrin_medium,1e-06,EX_dextrin_medium,dextrin_medium
EX_dgsn_medium,1e-06,EX_dgsn_medium,dgsn_medium
EX_din_medium,1e-06,EX_din_medium,din_medium
EX_dmso_medium,1e-06,EX_dmso_medium,dmso_medium
EX_duri_medium,1e-06,EX_duri_medium,duri_medium
EX_fe2_medium,1.149569490224583e-06,EX_fe2_medium,fe2_medium
EX_fe3_medium,1.0727288403506093e-06,EX_fe3_medium,fe3_medium
EX_fol_medium,1.2710887670243694e-06,EX_fol_medium,fol_medium
EX_fru_medium,0.00023488248838702552,EX_fru_medium,fru_medium
EX_fuc_L_medium,1e-06,EX_fuc_L_medium,fuc_L_medium
EX_fum_medium,1e-06,EX_fum_medium,fum_medium
EX_g6p_medium,1e-06,EX_g6p_medium,g6p_medium
EX_galct_D_medium,1e-06,EX_galct_D_medium,galct_D_medium
EX_galur_medium,1e-06,EX_galur_medium,galur_medium
EX_gam_medium,1e-06,EX_gam_medium,gam_medium
EX_glc_D_medium,0.00016097186170802542,EX_glc_D_medium,glc_D_medium
EX_glcn_medium,1e-06,EX_glcn_medium,glcn_medium
