Genus,species,average_abundance
Campylobacter,Campylobacter concisus,0.0032204504504504505
Peptoniphilus,Peptoniphilus harei,0.0004046846846846847
Streptococcus,Streptococcus parasanguinis,0.7121781981981982
Bulleidia,Bulleidia extructa,0.0014301801801801799
Odoribacter,Odoribacter unclassified,0.0031431531531531534
Acidaminococcus,Acidaminococcus intestini,0.008728648648648649
Streptococcus,Streptococcus tigurinus,0.0039903603603603606
Bifidobacterium,Bifidobacterium animalis,0.04501108108108109
Ruminococcus,Ruminococcus obeum,0.6594754954954957
Oscillibacter,Oscillibacter sp KLE 1728,0.0016198198198198197
Campylobacter,Campylobacter hominis,8.540540540540541e-05
Bacteroides,Bacteroides uniformis,2.4349667567567574
Parabacteroides,Parabacteroides sp 20 3,0.0
Shigella,Shigella flexneri,0.0
Prevotella,Prevotella multisaccharivorax,0.0
Clostridium,Clostridium ramosum,0.0537463063063063
Klebsiella,Klebsiella oxytoca,0.07635387387387389
Bacteroides,Bacteroides plebeius,3.1298820720720735
Bacteroides,Bacteroides eggerthii,0.6603956756756755
Oscillibacter,Oscillibacter sp KLE 1745,0.005424144144144143
Bacteroides,Bacteroides fragilis,0.9435983783783785
Anaeroglobus,Anaeroglobus geminatus,0.0011735135135135136
Deinococcus,Deinococcus unclassified,5.927927927927928e-05
Lachnospiraceae,Lachnospiraceae bacterium ICM7,0.00013378378378378378
Streptococcus,Streptococcus sp BS35b,0.0
Bacteroides,Bacteroides salyersiae,0.20597171171171172
Treponema,Treponema medium,0.0014115315315315316
Catonella,Catonella morbi,0.0
Streptococcus,Streptococcus sp GMD5S,0.0
Clostridium,Clostridium perfringens,0.04147144144144143
Bacteroides,Bacteroides caccae,1.0481154054054052
Bacteroidales,Bacteroidales bacterium ph8,0.09162963963963966
Fusobacterium,Fusobacterium periodonticum,0.0008845945945945947
Lactobacillus,Lactobacillus brevis,0.0
Flavonifractor,Flavonifractor plautii,0.12047747747747749
Pediococcus,Pediococcus unclassified,0.0
Thermus,Thermus scotoductus,1.1891891891891893e-05
Megamonas,Megamonas hypermegale,0.5211768468468468
Anaerococcus,Anaerococcus tetradius,0.0
Serratia,Serratia marcescens,0.0019459459459459458
Lactococcus,Lactococcus garvieae,0.26774081081081086
Lachnospiraceae,Lachnospiraceae bacterium 5 1 63FAA,0.08747945945945942
Olsenella,Olsenella profusa,0.0
Gemella,Gemella unclassified,0.0021745945945945947
Streptococcus,Streptococcus gallolyticus,0.0
Oribacterium,Oribacterium sp oral taxon 078,6.126126126126126e-06
Staphylococcus,Staphylococcus aureus,0.001365135135135135
Bacteroides,Bacteroides coprophilus,0.3175613513513514
Clostridium,Clostridium butyricum,0.002496846846846847
Neisseria,Neisseria elongata,0.0
Dorea,Dorea formicigenerans,0.4599372972972973
Stomatobaculum,Stomatobaculum longum,0.000871261261261261
Arcobacter,Arcobacter butzleri,0.0
Filifactor,Filifactor alocis,0.00035765765765765766
Bifidobacterium,Bifidobacterium catenulatum,0.009285045045045045
Ruminococcus,Ruminococcus gnavus,2.0085194594594595
Clostridium,Clostridium sp SY8519,0.0
Pediococcus,Pediococcus acidilactici,0.0
Enterococcus,Enterococcus casseliflavus,0.00044495495495495497
Bifidobacterium,Bifidobacterium dentium,0.06447477477477478
Proteus,Proteus unclassified,9.639639639639639e-06
Bacteroides,Bacteroides barnesiae,0.0
Enterobacter,Enterobacter sp MGH 8,0.0033357657657657656
Bacteroidetes,Bacteroidetes bacterium oral taxon 272,0.0
Prevotella,Prevotella veroralis,0.0006052252252252252
Veillonella,Veillonella parvula,0.24068468468468462
Selenomonas,Selenomonas bovis,0.00033954954954954955
Eggerthella,Eggerthella unclassified,0.12887243243243238
Lactobacillus,Lactobacillus gastricus,0.0
Eggerthella,Eggerthella sp YY7918,0.0
Campylobacter,Campylobacter ureolyticus,0.0003545945945945946
Clostridium,Clostridium sp D5,0.0005083783783783784
Barnesiella,Barnesiella intestinihominis,0.7324883783783787
Atopobium,Atopobium minutum,0.0
Granulicatella,Granulicatella elegans,0.0018665765765765764
Slackia,Slackia unclassified,0.002072252252252252
Prevotella,Prevotella timonensis,0.00018801801801801801
Acinetobacter,Acinetobacter unclassified,0.0
Citrobacter,Citrobacter freundii,0.03470648648648649
Weissella,Weissella unclassified,0.0003545945945945946
Collinsella,Collinsella aerofaciens,0.9088708108108108
Lactobacillus,Lactobacillus sp 7 1 47FAA,0.0
Granulicatella,Granulicatella adiacens,0.010990720720720718
Olsenella,Olsenella uli,0.0009153153153153153
Parabacteroides,Parabacteroides merdae,1.8793068468468477
Proteus,Proteus mirabilis,0.0006773873873873875
Anaerostipes,Anaerostipes sp 3 2 56FAA,0.0
Candida,Candida glabrata,0.0
Eubacterium,Eubacterium ventriosum,0.262862072072072
Leuconostoc,Leuconostoc citreum,4.1891891891891887e-05
Lactobacillus,Lactobacillus acidophilus,0.0
Shuttleworthia,Shuttleworthia satelles,0.00010315315315315316
Enterococcus,Enterococcus faecium,0.009698828828828832
Clostridium,Clostridium asparagiforme,0.03083963963963964
Lachnospiraceae,Lachnospiraceae bacterium 8 1 57FAA,0.0897172972972973
Leuconostoc,Leuconostoc mesenteroides,0.003678108108108108
Prevotella,Prevotella oulorum,3.5675675675675674e-05
Anaerostipes,Anaerostipes caccae,0.010603963963963965
