,metabolite,reaction,flux_healthy,flux_CRC,flux_diff,perc_flux_diff
510,h2o_medium,EX_h2o_medium,-137.7203517489911,-130.0929221293628,-7.627429619628316,0.055383460198606356
470,for_medium,EX_for_medium,-86.38470212732747,-82.60983035507434,-3.7748717722531353,0.04369838269152252
529,lac_L_medium,EX_lac_L_medium,-3.605362274282054,-0.3274967322876306,-3.2778655419944234,0.9091639875904438
431,but_medium,EX_but_medium,-27.14711560609728,-25.17071672790858,-1.9763988781887,0.07280327335198727
477,gal_medium,EX_gal_medium,-2.1365808371697868,-1.1012774893084152,-1.0353033478613716,0.48456081316950406
595,ura_medium,EX_ura_medium,-2.506609942603439,-1.924079964875216,-0.5825299777282229,0.232397537338095
471,fru_medium,EX_fru_medium,-34.54875512962593,-34.03371598135201,-0.5150391482739209,0.014907603655804933
406,ade_medium,EX_ade_medium,-3.3307108164626285,-3.02990152469739,-0.3008092917652383,0.09031384240217885
421,arab_L_medium,EX_arab_L_medium,-0.396854202571215,-0.1570697227893806,-0.2397844797818344,0.6042130289367551
378,Tn_antigen_medium,EX_Tn_antigen_medium,-0.3440960019488872,-0.1618637995501019,-0.18223220239878526,0.5295969769095267
404,acnam2a6agal_medium,EX_acnam2a6agal_medium,-0.139511876886249,0.0,-0.139511876886249,1.0
563,ppa_medium,EX_ppa_medium,-0.3580267790097975,-0.2308666424321064,-0.12716013657769112,0.35516934495620883
574,sTn_antigen_medium,EX_sTn_antigen_medium,-0.1073552757463765,0.0,-0.1073552757463765,1.0
528,lac_D_medium,EX_lac_D_medium,-7.861037314045637,-7.792460764355074,-0.06857654969056348,0.00872360058233472
551,nac_medium,EX_nac_medium,-1.0741846578963343,-1.0604652307756854,-0.013719427120648886,0.012771944767407856
494,glyc_medium,EX_glyc_medium,-0.0815187148114584,-0.0682267794047147,-0.013291935406743713,0.1630537900098908
437,chol_medium,EX_chol_medium,-0.0004109799632489,-0.0003221232235139,-8.885673973499998e-05,0.21620698739803543
602,cpd11416_medium,community_biomass,-14.432816854020173,-14.432816854019917,-2.5579538487363607e-13,1.7723178189043938e-14
423,arabttr_medium,EX_arabttr_medium,0.0,0.0,0.0,
393,_4hoxpacd_medium,EX__4hoxpacd_medium,0.0,0.0,0.0,
392,_4abut_medium,EX__4abut_medium,0.0,0.0,0.0,
391,_3hpppn_medium,EX__3hpppn_medium,0.0,0.0,0.0,
432,butso3_medium,EX_butso3_medium,0.0,0.0,0.0,
390,_3hphac_medium,EX__3hphac_medium,0.0,0.0,0.0,
389,_3dhchol_medium,EX__3dhchol_medium,0.0,0.0,0.0,
388,_3dhcdchol_medium,EX__3dhcdchol_medium,0.0,0.0,0.0,
387,_34dhphe_medium,EX__34dhphe_medium,0.0,0.0,0.0,
386,_34dhpha_medium,EX__34dhpha_medium,0.0,0.0,0.0,
385,_2hyoxplac_medium,EX__2hyoxplac_medium,0.0,0.0,0.0,
384,_2ddglcn_medium,EX__2ddglcn_medium,0.0,0.0,0.0,
383,_15dap_medium,EX__15dap_medium,0.0,0.0,0.0,
394,_4hpro_LT_medium,EX__4hpro_LT_medium,0.0,0.0,0.0,
382,_13ppd_medium,EX__13ppd_medium,0.0,0.0,0.0,
380,_12dhchol_medium,EX__12dhchol_medium,0.0,0.0,0.0,
379,Tyr_ggn_medium,EX_Tyr_ggn_medium,0.0,0.0,0.0,
433,cbl1_medium,EX_cbl1_medium,0.0,0.0,0.0,
434,cbl2_medium,EX_cbl2_medium,0.0,0.0,0.0,
435,cd2_medium,EX_cd2_medium,0.0,0.0,0.0,
377,T_antigen_medium,EX_T_antigen_medium,0.0,0.0,0.0,
376,Ser_Thr_medium,EX_Ser_Thr_medium,0.0,0.0,0.0,
436,cellb_medium,EX_cellb_medium,0.0,0.0,0.0,
375,MGlcn9_rl_medium,EX_MGlcn9_rl_medium,0.0,0.0,0.0,
374,MGlcn9_medium,EX_MGlcn9_medium,0.0,0.0,0.0,
373,MGlcn99_rl_medium,EX_MGlcn99_rl_medium,0.0,0.0,0.0,
372,MGlcn99_medium,EX_MGlcn99_medium,0.0,0.0,0.0,
381,_12ppd_S_medium,EX__12ppd_S_medium,0.0,0.0,0.0,
395,_5htrp_medium,EX__5htrp_medium,0.0,0.0,0.0,
396,_5mta_medium,EX__5mta_medium,0.0,0.0,0.0,
397,_5mthf_medium,EX__5mthf_medium,0.0,0.0,0.0,
420,amylose300_medium,EX_amylose300_medium,0.0,0.0,0.0,
419,amylopect900_medium,EX_amylopect900_medium,0.0,0.0,0.0,
418,alltn_medium,EX_alltn_medium,0.0,0.0,0.0,
417,alaleu_medium,EX_alaleu_medium,0.0,0.0,0.0,
424,arbt_medium,EX_arbt_medium,0.0,0.0,0.0,
416,alagly_medium,EX_alagly_medium,0.0,0.0,0.0,
415,alaglu_medium,EX_alaglu_medium,0.0,0.0,0.0,
414,alaasp_medium,EX_alaasp_medium,0.0,0.0,0.0,
413,ala_L_medium,EX_ala_L_medium,0.0,0.0,0.0,
425,arsenb_medium,EX_arsenb_medium,0.0,0.0,0.0,
426,aso3_medium,EX_aso3_medium,0.0,0.0,0.0,
412,ala_D_medium,EX_ala_D_medium,0.0,0.0,0.0,
411,agam1b6agal_medium,EX_agam1b6agal_medium,0.0,0.0,0.0,
410,agam1b3agal_medium,EX_agam1b3agal_medium,0.0,0.0,0.0,
409,agal1b6agal_medium,EX_agal1b6agal_medium,0.0,0.0,0.0,
427,aso4_medium,EX_aso4_medium,0.0,0.0,0.0,
408,agal1b3agal_medium,EX_agal1b3agal_medium,0.0,0.0,0.0,
428,bhb_medium,EX_bhb_medium,0.0,0.0,0.0,
407,adocbl_medium,EX_adocbl_medium,0.0,0.0,0.0,
371,MGlcn98_rl_medium,EX_MGlcn98_rl_medium,0.0,0.0,0.0,
405,actn_R_medium,EX_actn_R_medium,0.0,0.0,0.0,
429,btd_RR_medium,EX_btd_RR_medium,0.0,0.0,0.0,
402,acald_medium,EX_acald_medium,0.0,0.0,0.0,
401,acac_medium,EX_acac_medium,0.0,0.0,0.0,
399,_7ocholate_medium,EX__7ocholate_medium,0.0,0.0,0.0,
398,_7dhcdchol_medium,EX__7dhcdchol_medium,0.0,0.0,0.0,
430,btoh_medium,EX_btoh_medium,0.0,0.0,0.0,
422,arabinogal_medium,EX_arabinogal_medium,0.0,0.0,0.0,
370,MGlcn98_medium,EX_MGlcn98_medium,0.0,0.0,0.0,
366,MGlcn96_medium,EX_MGlcn96_medium,0.0,0.0,0.0,
368,MGlcn97_medium,EX_MGlcn97_medium,0.0,0.0,0.0,
317,MGlcn73_rl_medium,EX_MGlcn73_rl_medium,0.0,0.0,0.0,
318,MGlcn74_medium,EX_MGlcn74_medium,0.0,0.0,0.0,
