,flux,reaction,metabolite
EX_glygln_medium,1e-06,EX_glygln_medium,glygln_medium
EX_glyglu_medium,1e-06,EX_glyglu_medium,glyglu_medium
EX_glyleu_medium,1e-06,EX_glyleu_medium,glyleu_medium
EX_glymet_medium,1e-06,EX_glymet_medium,glymet_medium
EX_glyphe_medium,1e-06,EX_glyphe_medium,glyphe_medium
EX_glypro_medium,1e-06,EX_glypro_medium,glypro_medium
EX_glytyr_medium,1e-06,EX_glytyr_medium,glytyr_medium
EX_gsn_medium,1e-06,EX_gsn_medium,gsn_medium
EX_gua_medium,6.448841642501862e-07,EX_gua_medium,gua_medium
EX_h2s_medium,1e-06,EX_h2s_medium,h2s_medium
EX_his_L_medium,1.3158072641568538e-06,EX_his_L_medium,his_L_medium
EX_hxan_medium,1e-06,EX_hxan_medium,hxan_medium
EX_ile_L_medium,3.1106904680189035e-06,EX_ile_L_medium,ile_L_medium
EX_indole_medium,3.62988353464873e-07,EX_indole_medium,indole_medium
EX_ins_medium,4.887443931234688e-07,EX_ins_medium,ins_medium
EX_inulin_medium,1e-06,EX_inulin_medium,inulin_medium
EX_k_medium,2.5256993064919866e-07,EX_k_medium,k_medium
EX_kestopt_medium,6.855237343806612e-07,EX_kestopt_medium,kestopt_medium
EX_lctnb_medium,9.074221899767215e-07,EX_lctnb_medium,lctnb_medium
EX_leu_L_medium,1.4599630586890627e-05,EX_leu_L_medium,leu_L_medium
EX_lys_L_medium,1.1892735746178421e-05,EX_lys_L_medium,lys_L_medium
EX_malthx_medium,1e-06,EX_malthx_medium,malthx_medium
EX_mantr_medium,1e-06,EX_mantr_medium,mantr_medium
EX_met_L_medium,1.1271215753272217e-06,EX_met_L_medium,met_L_medium
EX_metala_medium,1e-06,EX_metala_medium,metala_medium
EX_mg2_medium,2.5256993064919866e-07,EX_mg2_medium,mg2_medium
EX_mn2_medium,2.5256993064919866e-07,EX_mn2_medium,mn2_medium
EX_mqn8_medium,3.578737891947329e-07,EX_mqn8_medium,mqn8_medium
EX_nmn_medium,1e-06,EX_nmn_medium,nmn_medium
EX_no2_medium,1e-06,EX_no2_medium,no2_medium
EX_o2_medium,1e-06,EX_o2_medium,o2_medium
EX_ocdca_medium,8.616478991338117e-07,EX_ocdca_medium,ocdca_medium
EX_orn_medium,1e-06,EX_orn_medium,orn_medium
EX_pect_medium,1.2076836459095155e-07,EX_pect_medium,pect_medium
EX_phe_L_medium,5.4063228069949225e-06,EX_phe_L_medium,phe_L_medium
EX_pi_medium,3.0243539832371254e-05,EX_pi_medium,pi_medium
EX_pro_L_medium,1.8226911089773895e-06,EX_pro_L_medium,pro_L_medium
EX_pydx_medium,2.4204741881954686e-07,EX_pydx_medium,pydx_medium
EX_raffin_medium,1e-06,EX_raffin_medium,raffin_medium
EX_ribflv_medium,8.167754793650037e-05,EX_ribflv_medium,ribflv_medium
EX_rmn_medium,1e-06,EX_rmn_medium,rmn_medium
EX_salcn_medium,1e-06,EX_salcn_medium,salcn_medium
EX_ser_L_medium,4.313576718152003e-05,EX_ser_L_medium,ser_L_medium
EX_so4_medium,1e-06,EX_so4_medium,so4_medium
EX_spmd_medium,1.2237754665005838e-07,EX_spmd_medium,spmd_medium
EX_strch1_medium,6.2933199178148225e-06,EX_strch1_medium,strch1_medium
EX_stys_medium,1e-06,EX_stys_medium,stys_medium
EX_sucr_medium,6.872649825877599e-05,EX_sucr_medium,sucr_medium
EX_thr_L_medium,0.00014684375540127963,EX_thr_L_medium,thr_L_medium
EX_thymd_medium,2.3517272159391386e-07,EX_thymd_medium,thymd_medium
EX_trp_L_medium,3.6859043919181675e-07,EX_trp_L_medium,trp_L_medium
EX_tsul_medium,1.2448857474590313e-07,EX_tsul_medium,tsul_medium
EX_ttdca_medium,3.609395722736636e-07,EX_ttdca_medium,ttdca_medium
EX_tyr_L_medium,2.2675655098123574e-06,EX_tyr_L_medium,tyr_L_medium
EX_ura_medium,1e-06,EX_ura_medium,ura_medium
EX_uri_medium,1e-06,EX_uri_medium,uri_medium
EX_xan_medium,1e-06,EX_xan_medium,xan_medium
EX_xyl_D_medium,1e-06,EX_xyl_D_medium,xyl_D_medium
EX_zn2_medium,2.5256993064919866e-07,EX_zn2_medium,zn2_medium
SK_Alistipes_TP_h_Alistipes_e_ub,1.420690914840591e-07,SK_Alistipes_TP_h_Alistipes_e_ub,Alistipes_TP_h_Alistipes_e_ub
SK_Clostridium_D_LACt2_lb,1.514026988897204e-07,SK_Clostridium_D_LACt2_lb,Clostridium_D_LACt2_lb
SK_Clostridium_ENO_Clostridium_c_ub,1.6509256262676519e-07,SK_Clostridium_ENO_Clostridium_c_ub,Clostridium_ENO_Clostridium_c_ub
SK_Clostridium_GAPD_Clostridium_c_ub,1.6509256262676519e-07,SK_Clostridium_GAPD_Clostridium_c_ub,Clostridium_GAPD_Clostridium_c_ub
SK_Clostridium_LDH_D_Clostridium_c_lb,1.514026988897204e-07,SK_Clostridium_LDH_D_Clostridium_c_lb,Clostridium_LDH_D_Clostridium_c_lb
SK_Clostridium_PGK_Clostridium_c_lb,1.6509256262676519e-07,SK_Clostridium_PGK_Clostridium_c_lb,Clostridium_PGK_Clostridium_c_lb
SK_Clostridium_PGM_Clostridium_c_lb,1.6509256262676519e-07,SK_Clostridium_PGM_Clostridium_c_lb,Clostridium_PGM_Clostridium_c_lb
SK_Clostridium_PYK_Clostridium_c_ub,1.1313131241024126e-07,SK_Clostridium_PYK_Clostridium_c_ub,Clostridium_PYK_Clostridium_c_ub
SK_Clostridium_TP_lac_D_Clostridium_e_ub,1.514026988897204e-07,SK_Clostridium_TP_lac_D_Clostridium_e_ub,Clostridium_TP_lac_D_Clostridium_e_ub
SK_Parabacteroides_GALt1r_ub,1.9480258993223016e-07,SK_Parabacteroides_GALt1r_ub,Parabacteroides_GALt1r_ub
SK_Roseburia_ENO_Roseburia_c_ub,1.1756432704883889e-07,SK_Roseburia_ENO_Roseburia_c_ub,Roseburia_ENO_Roseburia_c_ub
SK_Roseburia_FORt2r_lb,1.129512869581506e-07,SK_Roseburia_FORt2r_lb,Roseburia_FORt2r_lb
SK_Roseburia_GAPD_Roseburia_c_ub,1.1756432704883889e-07,SK_Roseburia_GAPD_Roseburia_c_ub,Roseburia_GAPD_Roseburia_c_ub
SK_Roseburia_PFL_Roseburia_c_ub,1.1603923583736175e-07,SK_Roseburia_PFL_Roseburia_c_ub,Roseburia_PFL_Roseburia_c_ub
SK_Roseburia_PGK_Roseburia_c_lb,1.1756432704883889e-07,SK_Roseburia_PGK_Roseburia_c_lb,Roseburia_PGK_Roseburia_c_lb
SK_Roseburia_PGM_Roseburia_c_lb,1.1756432704883889e-07,SK_Roseburia_PGM_Roseburia_c_lb,Roseburia_PGM_Roseburia_c_lb
SK_Roseburia_PYK_Roseburia_c_ub,1.1944995769319115e-07,SK_Roseburia_PYK_Roseburia_c_ub,Roseburia_PYK_Roseburia_c_ub
SK_Roseburia_TP_for_Roseburia_e_ub,1.129512869581506e-07,SK_Roseburia_TP_for_Roseburia_e_ub,Roseburia_TP_for_Roseburia_e_ub
