,metabolite,reaction,flux_healthy,flux_CRC,flux_diff,perc_flux_diff
263,MGlcn64_medium,EX_MGlcn64_medium,0.0,0.0,0.0,
262,MGlcn62_rl_medium,EX_MGlcn62_rl_medium,0.0,0.0,0.0,
261,MGlcn62_medium,EX_MGlcn62_medium,0.0,0.0,0.0,
260,MGlcn61_rl_medium,EX_MGlcn61_rl_medium,0.0,0.0,0.0,
272,MGlcn6_rl_medium,EX_MGlcn6_rl_medium,0.0,0.0,0.0,
259,MGlcn61_medium,EX_MGlcn61_medium,0.0,0.0,0.0,
255,MGlcn57_medium,EX_MGlcn57_medium,-2e-06,-2e-06,0.0,-0.0
254,MGlcn56_rl_medium,EX_MGlcn56_rl_medium,0.0,0.0,0.0,
253,MGlcn56_medium,EX_MGlcn56_medium,0.0,0.0,0.0,
252,MGlcn55_rl_medium,EX_MGlcn55_rl_medium,0.0,0.0,0.0,
251,MGlcn55_medium,EX_MGlcn55_medium,0.0,0.0,0.0,
500,xylan_medium,EX_xylan_medium,0.0,0.0,0.0,
249,MGlcn53_medium,EX_MGlcn53_medium,0.0,0.0,0.0,
248,MGlcn51_rl_medium,EX_MGlcn51_rl_medium,0.0,0.0,0.0,
247,MGlcn51_medium,EX_MGlcn51_medium,0.0,0.0,0.0,
246,MGlcn50_rl_medium,EX_MGlcn50_rl_medium,0.0,0.0,0.0,
245,MGlcn50_medium,EX_MGlcn50_medium,0.0,0.0,0.0,
244,MGlcn4_rl_medium,EX_MGlcn4_rl_medium,0.0,0.0,0.0,
256,MGlcn57_rl_medium,EX_MGlcn57_rl_medium,-2e-06,-2e-06,0.0,-0.0
273,MGlcn70_medium,EX_MGlcn70_medium,0.0,0.0,0.0,
274,MGlcn70_rl_medium,EX_MGlcn70_rl_medium,0.0,0.0,0.0,
275,MGlcn71_medium,EX_MGlcn71_medium,0.0,0.0,0.0,
363,arbt_medium,EX_arbt_medium,0.0,0.0,0.0,
302,MGlcn85_rl_medium,EX_MGlcn85_rl_medium,0.0,0.0,0.0,
301,MGlcn85_medium,EX_MGlcn85_medium,0.0,0.0,0.0,
300,MGlcn84_rl_medium,EX_MGlcn84_rl_medium,0.0,0.0,0.0,
299,MGlcn84_medium,EX_MGlcn84_medium,0.0,0.0,0.0,
298,MGlcn83_rl_medium,EX_MGlcn83_rl_medium,0.0,0.0,0.0,
297,MGlcn83_medium,EX_MGlcn83_medium,0.0,0.0,0.0,
296,MGlcn82_rl_medium,EX_MGlcn82_rl_medium,0.0,0.0,0.0,
295,MGlcn82_medium,EX_MGlcn82_medium,0.0,0.0,0.0,
294,MGlcn80_rl_medium,EX_MGlcn80_rl_medium,0.0,0.0,0.0,
293,MGlcn80_medium,EX_MGlcn80_medium,0.0,0.0,0.0,
292,MGlcn79_rl_medium,EX_MGlcn79_rl_medium,0.0,0.0,0.0,
291,MGlcn79_medium,EX_MGlcn79_medium,0.0,0.0,0.0,
289,MGlcn78_medium,EX_MGlcn78_medium,-1e-06,-1e-06,0.0,-0.0
288,MGlcn77_rl_medium,EX_MGlcn77_rl_medium,0.0,0.0,0.0,
287,MGlcn77_medium,EX_MGlcn77_medium,0.0,0.0,0.0,
286,MGlcn76_rl_medium,EX_MGlcn76_rl_medium,0.0,0.0,0.0,
285,MGlcn76_medium,EX_MGlcn76_medium,0.0,0.0,0.0,
284,MGlcn75_rl_medium,EX_MGlcn75_rl_medium,0.0,0.0,0.0,
283,MGlcn75_medium,EX_MGlcn75_medium,0.0,0.0,0.0,
282,MGlcn74_rl_medium,EX_MGlcn74_rl_medium,0.0,0.0,0.0,
281,MGlcn74_medium,EX_MGlcn74_medium,0.0,0.0,0.0,
280,MGlcn73_rl_medium,EX_MGlcn73_rl_medium,0.0,0.0,0.0,
279,MGlcn73_medium,EX_MGlcn73_medium,0.0,0.0,0.0,
278,MGlcn72_rl_medium,EX_MGlcn72_rl_medium,0.0,0.0,0.0,
277,MGlcn72_medium,EX_MGlcn72_medium,0.0,0.0,0.0,
276,MGlcn71_rl_medium,EX_MGlcn71_rl_medium,0.0,0.0,0.0,
305,MGlcn87_medium,EX_MGlcn87_medium,0.0,0.0,0.0,
364,arsenb_medium,EX_arsenb_medium,0.0,0.0,0.0,
