,flux,reaction,metabolite
EX_pullulan1200_medium,8.65320280788142e-05,EX_pullulan1200_medium,pullulan1200_medium
EX_pydx_medium,0.06702569404482643,EX_pydx_medium,pydx_medium
EX_pydxn_medium,0.01350212797275233,EX_pydxn_medium,pydxn_medium
EX_q8_medium,0.020456947168742322,EX_q8_medium,q8_medium
EX_ribflv_medium,0.10657375837931597,EX_ribflv_medium,ribflv_medium
EX_salcn_medium,5.233765055817263,EX_salcn_medium,salcn_medium
EX_ser_L_medium,2.6006211662710372,EX_ser_L_medium,ser_L_medium
EX_sheme_medium,0.015974417719411677,EX_sheme_medium,sheme_medium
EX_so4_medium,0.08585099517610156,EX_so4_medium,so4_medium
EX_spmd_medium,0.03679187896872737,EX_spmd_medium,spmd_medium
EX_strch1_medium,0.4385413472828582,EX_strch1_medium,strch1_medium
EX_stys_medium,0.5905431619123425,EX_stys_medium,stys_medium
EX_sucr_medium,9.09092558359374,EX_sucr_medium,sucr_medium
EX_thm_medium,0.014815380294963305,EX_thm_medium,thm_medium
EX_thr_L_medium,6.278918814785874,EX_thr_L_medium,thr_L_medium
EX_tre_medium,1.3587228135028153,EX_tre_medium,tre_medium
EX_trp_L_medium,0.2523869411993872,EX_trp_L_medium,trp_L_medium
EX_ttdca_medium,0.17892176168794474,EX_ttdca_medium,ttdca_medium
EX_tyr_L_medium,0.987861182774099,EX_tyr_L_medium,tyr_L_medium
EX_xan_medium,0.03557745108613744,EX_xan_medium,xan_medium
EX_zn2_medium,0.08626197513935055,EX_zn2_medium,zn2_medium
