sample,flux
average,-0.0024478123529417
13,-0.002092422436772
14,-0.0016120839188607
33,-0.0020376623373309
48,-0.0005737547760735
67,-0.0009639104066808
7,-0.0012366215505244
71,-0.0018341338740208
81,-0.000662705611625
87,-0.004265265547461
99,-0.0004100218402188
