sample,flux
average,-0.0001252706727041
13,-0.0001460115621084
33,-8.066152718543499e-05
48,-1.887785110218921e-05
67,-7.527377295642536e-05
7,0.0
87,-0.0002934550698771
99,-1.0709669531933435e-05
