sample,flux
average,-0.0015068603129713
13,-0.0020131127434954
14,-0.0006959652532796
33,-0.001758302521853
48,-0.0003274431331097
67,-0.0002526205116218
7,-0.0011206702762031
71,0.0
81,-0.000756673639126
87,-0.0003768580274811
99,-0.0002218789709517
