EX_MGlcn139_medium, EX_MGlcn139_medium: MGlcn139_medium <=> , (-1e-06, 1000.0)
EX_MGlcn139_rl_medium, EX_MGlcn139_rl_medium: MGlcn139_rl_medium <=> , (-1e-06, 1000.0)
EX_MGlcn13_medium, EX_MGlcn13_medium: MGlcn13_medium <=> , (-1e-06, 1000.0)
EX_MGlcn13_rl_medium, EX_MGlcn13_rl_medium: MGlcn13_rl_medium <=> , (-1e-06, 1000.0)
EX_MGlcn140_medium, EX_MGlcn140_medium: MGlcn140_medium <=> , (-1e-06, 1000.0)
EX_MGlcn140_rl_medium, EX_MGlcn140_rl_medium: MGlcn140_rl_medium <=> , (-1e-06, 1000.0)
EX_MGlcn141_medium, EX_MGlcn141_medium: MGlcn141_medium <=> , (-1e-06, 1000.0)
EX_MGlcn141_rl_medium, EX_MGlcn141_rl_medium: MGlcn141_rl_medium <=> , (-1e-06, 1000.0)
EX_MGlcn142_medium, EX_MGlcn142_medium: MGlcn142_medium <=> , (-1e-06, 1000.0)
EX_MGlcn142_rl_medium, EX_MGlcn142_rl_medium: MGlcn142_rl_medium <=> , (-1e-06, 1000.0)
EX_MGlcn143_medium, EX_MGlcn143_medium: MGlcn143_medium <=> , (-1e-06, 1000.0)
EX_MGlcn143_rl_medium, EX_MGlcn143_rl_medium: MGlcn143_rl_medium <=> , (-1e-06, 1000.0)
EX_MGlcn144_medium, EX_MGlcn144_medium: MGlcn144_medium <=> , (-1e-06, 1000.0)
EX_MGlcn144_rl_medium, EX_MGlcn144_rl_medium: MGlcn144_rl_medium <=> , (-1e-06, 1000.0)
EX_MGlcn145_medium, EX_MGlcn145_medium: MGlcn145_medium <=> , (-1e-06, 1000.0)
EX_MGlcn145_rl_medium, EX_MGlcn145_rl_medium: MGlcn145_rl_medium <=> , (-1e-06, 1000.0)
EX_MGlcn146_medium, EX_MGlcn146_medium: MGlcn146_medium <=> , (-1e-06, 1000.0)
EX_MGlcn146_rl_medium, EX_MGlcn146_rl_medium: MGlcn146_rl_medium <=> , (-1e-06, 1000.0)
EX_MGlcn147_medium, EX_MGlcn147_medium: MGlcn147_medium <=> , (-1e-06, 1000.0)
EX_MGlcn147_rl_medium, EX_MGlcn147_rl_medium: MGlcn147_rl_medium <=> , (-1e-06, 1000.0)
EX_MGlcn148_medium, EX_MGlcn148_medium: MGlcn148_medium <=> , (-1e-06, 1000.0)
EX_MGlcn148_rl_medium, EX_MGlcn148_rl_medium: MGlcn148_rl_medium <=> , (-1e-06, 1000.0)
EX_MGlcn149_medium, EX_MGlcn149_medium: MGlcn149_medium <=> , (-1e-06, 1000.0)
EX_MGlcn149_rl_medium, EX_MGlcn149_rl_medium: MGlcn149_rl_medium <=> , (-1e-06, 1000.0)
EX_MGlcn14_medium, EX_MGlcn14_medium: MGlcn14_medium <=> , (-1e-06, 1000.0)
EX_MGlcn14_rl_medium, EX_MGlcn14_rl_medium: MGlcn14_rl_medium <=> , (-1e-06, 1000.0)
EX_MGlcn150_medium, EX_MGlcn150_medium: MGlcn150_medium <=> , (-1e-06, 1000.0)
EX_MGlcn150_rl_medium, EX_MGlcn150_rl_medium: MGlcn150_rl_medium <=> , (-1e-06, 1000.0)
EX_MGlcn151_medium, EX_MGlcn151_medium: MGlcn151_medium <=> , (-1e-06, 1000.0)
EX_MGlcn151_rl_medium, EX_MGlcn151_rl_medium: MGlcn151_rl_medium <=> , (-1e-06, 1000.0)
EX_MGlcn152_medium, EX_MGlcn152_medium: MGlcn152_medium <=> , (-1e-06, 1000.0)
EX_MGlcn152_rl_medium, EX_MGlcn152_rl_medium: MGlcn152_rl_medium <=> , (-1e-06, 1000.0)
EX_MGlcn153_medium, EX_MGlcn153_medium: MGlcn153_medium <=> , (-1e-06, 1000.0)
EX_MGlcn153_rl_medium, EX_MGlcn153_rl_medium: MGlcn153_rl_medium <=> , (-1e-06, 1000.0)
EX_MGlcn154_medium, EX_MGlcn154_medium: MGlcn154_medium <=> , (-1e-06, 1000.0)
EX_MGlcn154_rl_medium, EX_MGlcn154_rl_medium: MGlcn154_rl_medium <=> , (-1e-06, 1000.0)
EX_MGlcn155_medium, EX_MGlcn155_medium: MGlcn155_medium <=> , (-1e-06, 1000.0)
EX_MGlcn155_rl_medium, EX_MGlcn155_rl_medium: MGlcn155_rl_medium <=> , (-1e-06, 1000.0)
EX_MGlcn156_medium, EX_MGlcn156_medium: MGlcn156_medium <=> , (-1e-06, 1000.0)
EX_MGlcn156_rl_medium, EX_MGlcn156_rl_medium: MGlcn156_rl_medium <=> , (-1e-06, 1000.0)
EX_MGlcn157_medium, EX_MGlcn157_medium: MGlcn157_medium <=> , (-1e-06, 1000.0)
EX_MGlcn157_rl_medium, EX_MGlcn157_rl_medium: MGlcn157_rl_medium <=> , (-1e-06, 1000.0)
EX_MGlcn158_medium, EX_MGlcn158_medium: MGlcn158_medium <=> , (-1e-06, 1000.0)
EX_MGlcn158_rl_medium, EX_MGlcn158_rl_medium: MGlcn158_rl_medium <=> , (-1e-06, 1000.0)
