Genus,species,average_abundance
Slackia,Slackia exigua,0.00011179282868525897
Streptococcus,Streptococcus gordonii,0.008753466135458169
Holdemania,Holdemania sp AP2,0.0054196812749003976
Blautia,Blautia hydrogenotrophica,0.008196215139442232
Eubacterium,Eubacterium hallii,0.2006325896414342
Prevotella,Prevotella salivae,0.00013617529880478085
Clostridium,Clostridium bifermentans,0.0
Paraprevotella,Paraprevotella unclassified,0.30662864541832674
Corynebacterium,Corynebacterium durum,0.0007163346613545817
Gemella,Gemella morbillorum,0.0012068924302788843
Selenomonas,Selenomonas noxia,2.912350597609562e-05
Ruminococcus,Ruminococcus bromii,1.0440307968127485
Prevotella,Prevotella multiformis,0.0
Slackia,Slackia piriformis,0.002702828685258964
Cellulophaga,Cellulophaga unclassified,2.5258964143426295e-05
Clostridium,Clostridium sordellii,6.880478087649403e-05
Veillonella,Veillonella sp 6 1 27,0.0
Clostridium,Clostridium clostridioforme,0.15422824701195212
Butyricicoccus,Butyricicoccus pullicaecorum,0.014870597609561755
Pseudoramibacter,Pseudoramibacter alactolyticus,8.103585657370518e-05
Lactobacillus,Lactobacillus salivarius,0.11003912350597608
Alistipes,Alistipes putredinis,1.6591009960159366
Prevotella,Prevotella histicola,0.0020083665338645417
Porphyromonas,Porphyromonas gingivalis,0.00587003984063745
Propionibacterium,Propionibacterium acnes,7.314741035856574e-05
Bifidobacterium,Bifidobacterium pseudolongum,0.00036286852589641433
Enterococcus,Enterococcus gallinarum,0.0003484860557768924
Leuconostoc,Leuconostoc lactis,0.00011537848605577689
Coprobacter,Coprobacter fastidiosus,0.06644023904382469
Haemophilus,Haemophilus haemolyticus,0.0003202788844621514
Collinsella,Collinsella tanakaei,0.00760398406374502
Eubacterium,Eubacterium siraeum,1.0013513147410358
Fretibacterium,Fretibacterium fastidiosum,1.6932270916334664e-05
Veillonella,Veillonella ratti,0.05335278884462151
Blautia,Blautia producta,0.007975856573705184
Finegoldia,Finegoldia magna,0.0026915139442231077
Oscillibacter,Oscillibacter unclassified,0.622608844621514
Eubacterium,Eubacterium brachy,0.002815219123505976
Clostridium,Clostridium difficile,0.0
Clostridium,Clostridium innocuum,0.0016913545816733067
Prevotella,Prevotella buccae,0.0005237051792828686
Escherichia,Escherichia unclassified,0.3524857370517929
Bacteroides,Bacteroides sp 3 1 40A,0.0
Actinomyces,Actinomyces naeslundii,0.00023920318725099602
Lactobacillus,Lactobacillus crispatus,0.008759760956175299
Eubacterium,Eubacterium rectale,3.7916523107569735
Clostridiales,Clostridiales bacterium BV3C26,6.466135458167332e-05
Alistipes,Alistipes unclassified,0.07280792828685258
Leptotrichia,Leptotrichia hofstadii,8.286852589641433e-06
Neisseria,Neisseria flavescens,0.0002596812749003984
Selenomonas,Selenomonas sputigena,1.2350597609561752e-06
Neisseria,Neisseria subflava,0.0
Prevotella,Prevotella bivia,0.0004554980079681274
Haemophilus,Haemophilus sputorum,0.0007898804780876494
Weissella,Weissella cibaria,4.721115537848605e-05
Porphyromonas,Porphyromonas endodontalis,0.002658964143426295
Lactobacillus,Lactobacillus fermentum,0.0378811155378486
Parvimonas,Parvimonas micra,0.0013824701195219123
Streptococcus,Streptococcus australis,0.06993342629482074
Prevotella,Prevotella intermedia,0.0
Tannerella,Tannerella forsythia,0.0001746613545816733
Prevotella,Prevotella disiens,0.00039657370517928286
Cetobacterium,Cetobacterium somerae,0.0
Anaerotruncus,Anaerotruncus colihominis,0.0185203187250996
Stenotrophomonas,Stenotrophomonas maltophilia,0.0
Cryptobacterium,Cryptobacterium curtum,7.358565737051793e-05
Lachnospiraceae,Lachnospiraceae bacterium 6 1 63FAA,0.0012412749003984066
Granulicatella,Granulicatella unclassified,0.015090478087649397
Corynebacterium,Corynebacterium matruchotii,5.976095617529881e-06
Dialister,Dialister succinatiphilus,0.15861290836653388
Parabacteroides,Parabacteroides unclassified,0.6036311553784861
Prevotella,Prevotella pallens,0.00026015936254980077
Anaerostipes,Anaerostipes unclassified,0.027144741035856575
Megasphaera,Megasphaera elsdenii,0.06336968127490039
Succinatimonas,Succinatimonas hippei,0.0023652589641434264
Lactococcus,Lactococcus lactis,0.003816254980079682
Leptotrichia,Leptotrichia unclassified,0.00029067729083665335
Klebsiella,Klebsiella variicola,0.00019179282868525899
Lachnospiraceae,Lachnospiraceae bacterium 2 1 46FAA,0.008702191235059763
Actinomyces,Actinomyces turicensis,0.0006301593625498008
Collinsella,Collinsella stercoris,0.0017306772908366535
Actinomyces,Actinomyces timonensis,0.0
Dorea,Dorea longicatena,0.4171432270916334
Bifidobacterium,Bifidobacterium pseudocatenulatum,0.49925342629482045
Prevotella,Prevotella melaninogenica,0.002202111553784861
Tropheryma,Tropheryma whipplei,1.1474103585657371e-05
Actinomyces,Actinomyces oris,0.0006264940239043825
Acidaminococcus,Acidaminococcus fermentans,0.05930980079681275
Anaerofustis,Anaerofustis stercorihominis,0.00018752988047808766
Campylobacter,Campylobacter upsaliensis,0.0001351394422310757
Lactobacillus,Lactobacillus equicursoris,0.0
Ruminococcus,Ruminococcus champanellensis,0.014324701195219124
Solobacterium,Solobacterium moorei,0.00624593625498008
Bacteroides,Bacteroides cellulosilyticus,0.28987430278884474
Roseburia,Roseburia hominis,0.32365326693227076
Alloprevotella,Alloprevotella unclassified,0.00016677290836653388
Megasphaera,Megasphaera unclassified,0.45142071713147414
Mogibacterium,Mogibacterium sp CM50,0.0006286055776892431
Acidaminococcus,Acidaminococcus sp BV3L6,0.07077968127490039
Lactobacillus,Lactobacillus ruminis,0.006578406374501992
Aggregatibacter,Aggregatibacter aphrophilus,0.0008108764940239043
Cellulosilyticum,Cellulosilyticum lentocellum,0.0
Lactobacillus,Lactobacillus iners,0.0008146613545816733
Lautropia,Lautropia mirabilis,1.645418326693227e-05
Morganella,Morganella morganii,0.0005775697211155379
Bacteroides,Bacteroides xylanisolvens,0.32258254980079665
Paraprevotella,Paraprevotella xylaniphila,0.09489446215139445
Campylobacter,Campylobacter gracilis,0.02448167330677291
Megamonas,Megamonas unclassified,1.5624560956175293
Actinomyces,Actinomyces johnsonii,6.872509960159363e-05
Capnocytophaga,Capnocytophaga unclassified,0.0
Actinomyces,Actinomyces sp ICM39,0.0
Prevotella,Prevotella amnii,0.0
Lachnospiraceae,Lachnospiraceae bacterium 5 1 57FAA,0.015053466135458164
Eggerthella,Eggerthella sp 1 3 56FAA,0.0007430677290836653
Enterobacter,Enterobacter cloacae,0.08231972111553788
Campylobacter,Campylobacter concisus,0.007810000000000002
Peptoniphilus,Peptoniphilus harei,0.00018972111553784864
Streptococcus,Streptococcus parasanguinis,0.6754568525896407
Bulleidia,Bulleidia extructa,0.0006632669322709163
Odoribacter,Odoribacter unclassified,0.005243984063745018
