,shannon_index,richness
10021,2.8008504636293985,105.0
10067,3.2953267103434296,99.0
10073,3.5019486829503483,126.0
10074,2.8820842101519477,82.0
10091,3.0832110361394305,95.0
10097,2.328863710360272,95.0
10119,2.457099472107669,90.0
10124,3.1872238634795704,124.0
10126,3.0630659916849505,87.0
10147,2.913444514432993,85.0
10185,2.372192425529741,85.0
10199,3.0085570790916396,93.0
10236,1.6446827335203165,63.0
10248,3.1326099206459297,143.0
10249,3.073229410170929,90.0
10265,2.735765161588122,70.0
10267,2.638181317627343,65.0
10277,3.4912721181213606,123.0
10306,3.1587946135756857,97.0
10308,3.1263368414243544,96.0
10309,2.82506274429878,139.0
10323,2.4777532068178614,79.0
10324,3.515557352174825,170.0
10330,2.406846025324283,91.0
10333,3.434933655982971,133.0
10371,2.9655886437696384,73.0
10377,3.114203919267791,121.0
10389,2.9769894108803316,103.0
10459,3.1978489193578645,99.0
10462,1.8456177543172194,57.0
10464,2.1837183123036508,63.0
10469,3.1530210254804047,142.0
10480,2.9321329862699916,90.0
10503,2.866243549264176,119.0
10505,2.7641500358065296,111.0
10523,3.285592358522876,85.0
10525,2.891967420139204,95.0
10542,2.7098864587714298,131.0
10550,2.9243001071403345,86.0
10584,2.6749831039380916,98.0
10598,1.5766347220037893,40.0
10609,2.420751141821828,89.0
10615,3.0441012755608026,97.0
10628,2.8621853311914363,97.0
10644,3.31058551318841,84.0
10667,2.8658542318258893,52.0
10668,3.208865757855728,91.0
10670,3.0007163241551673,118.0
10671,2.073395906274363,103.0
10674,2.804574763556707,113.0
10675,3.1550473867109785,151.0
10694,2.4859217222896803,62.0
10700,3.5972875957728117,147.0
10709,2.168888617657983,81.0
10713,2.896746557078846,73.0
10717,3.0419321107437005,88.0
10718,2.222857524308879,56.0
10720,2.610579546366688,80.0
10723,2.8380155197953307,78.0
10731,2.7823925952003896,83.0
10745,2.4899730885505282,70.0
10762,3.266782269574613,124.0
10767,3.1308483998765784,97.0
10774,2.970293837668138,90.0
10775,3.539858221904908,143.0
10812,2.9039060186665537,97.0
10816,3.329990559828959,109.0
10827,2.8638081756364855,103.0
10829,3.2797899317985064,92.0
10030,2.6922190840418767,70.0
10237,2.97234609769908,82.0
10595,3.2139133283894425,101.0
10603,1.8894194591171372,71.0
10819,3.057139989889982,105.0
10887,2.9434737683171215,76.0
10938,2.547553370523402,65.0
11010,2.451378340692645,114.0
11030,2.8550299525094354,92.0
11036,2.9848818112494677,64.0
11045,2.2978936435778925,67.0
11054,3.2917980457980844,100.0
11081,3.1298788067593355,65.0
11085,3.0254466283065304,73.0
11097,2.994008285336592,76.0
11103,2.7213163873311754,61.0
11128,2.9303758366047674,90.0
11132,2.1999327973331524,66.0
11141,2.342009790055502,82.0
11162,2.758781182682725,46.0
11238,3.4277954311049106,123.0
11428,2.994321428516136,80.0
11472,3.0078027798551172,71.0
11478,3.0360443056954507,90.0
11490,3.233629758191831,99.0
11817,2.7902818378998147,106.0
11823,3.400214595570142,99.0
11835,3.002365724902366,73.0
11838,3.4474396235614817,112.0
11881,3.364621991167491,95.0
11888,3.357371135345318,151.0
11900,2.5183974571738457,72.0
11918,3.131321275113331,98.0
11951,2.8322696696583676,70.0
11956,3.027941987818162,75.0
11973,2.3390408981332644,114.0
11974,2.9065510627449473,100.0
12002,3.3209672735774127,102.0
12020,3.166849758495153,96.0
12022,2.993387489649883,91.0
12024,2.603279318499812,111.0
12025,3.0765313266948833,69.0
