,shannon_index,richness
10023,3.0244694327239254,84.0
10025,2.98909607736956,104.0
10029,3.214741319000616,95.0
10031,2.779477448154881,111.0
10036,2.7841503963703156,79.0
10037,2.704972814135244,74.0
10038,3.216636314307996,86.0
10040,3.4090689722769945,83.0
10046,3.2696526018971817,110.0
10048,3.269402318393203,99.0
10052,3.213275085140841,106.0
10058,2.993628604181807,100.0
10060,1.6546690722244155,77.0
10080,2.6747967048687626,111.0
10092,3.3217531036769343,113.0
10100,2.197692268619231,98.0
10105,2.7191480769325524,89.0
10106,2.832938754847676,88.0
10107,2.6510296373338464,91.0
10114,3.1573140415373864,75.0
10132,2.8373411642394832,113.0
10135,3.1287496394744063,95.0
10144,3.1520325542305536,98.0
10150,2.890876209296163,87.0
10151,3.3650769784453747,109.0
10158,3.0026730876228784,71.0
10169,2.922670450500297,54.0
10183,1.692159786681822,50.0
10188,1.679185568511609,110.0
10200,3.1172958360859417,80.0
10206,1.8357808420751076,80.0
10207,2.2732693074936186,124.0
10208,3.2043912923182822,131.0
10212,2.91718168514589,100.0
10215,2.936450180372991,87.0
10219,2.509539372691321,90.0
10221,3.181199984071499,91.0
10223,3.050130999034998,85.0
10226,2.6095513701753075,103.0
10229,3.081060736716471,118.0
10231,2.6320734520791653,109.0
10235,3.0135947968633965,98.0
10244,3.079022831516483,92.0
10246,2.7347130548579384,53.0
10250,3.0772306991330662,117.0
10254,3.268687660772892,91.0
10258,2.539054222922885,77.0
10259,2.5691076851345898,83.0
10262,2.611123376212434,50.0
10269,3.3633348515667087,133.0
10271,2.223826424314486,93.0
10273,3.2517495953303923,86.0
10274,2.9629873845034846,82.0
10301,2.6313549306573805,93.0
10302,2.5996353754705166,80.0
10304,2.626847809065647,69.0
10315,2.9345384146868114,107.0
10317,2.682484313274019,86.0
10318,3.01919305345561,92.0
10320,2.855535229791977,74.0
10325,2.95912458314158,97.0
10335,3.1918560050692095,116.0
10339,3.0376453966815613,91.0
10340,2.731360834076996,58.0
10341,3.082799169487985,94.0
10349,3.2525497164063046,87.0
10350,2.879072303160626,91.0
10353,2.9306897467569737,91.0
10354,2.552703612352302,86.0
10356,2.7031084303310187,88.0
10357,3.075924599573299,102.0
10362,2.9071442868619304,79.0
10364,2.4222788390462493,59.0
10378,3.0397539380899063,81.0
10456,3.2495057660907523,140.0
10463,3.3919411668210744,120.0
10465,2.9781462837548522,74.0
10473,3.429458684736848,123.0
10486,2.6246161413884592,70.0
10487,3.5824154511491035,104.0
10489,2.990713177468366,79.0
10508,2.591051593209099,146.0
10510,2.1825005499562105,29.0
10519,2.4938177204314416,90.0
10537,2.776572330189325,124.0
10541,2.7294588812851868,103.0
10543,2.8673617499368547,133.0
10559,2.935814337746326,79.0
10570,2.4470215071765873,46.0
10577,2.857934915912935,74.0
10585,2.9253680383110483,79.0
10586,2.470277161224925,80.0
10589,2.627993093369801,109.0
10591,2.506517802170917,49.0
10592,2.508407376885214,75.0
10593,2.138069932607523,79.0
10618,2.629295079250969,95.0
10620,1.771933158877953,90.0
10621,3.098555981801689,96.0
10622,2.8705542537229194,59.0
10627,3.026350743784727,96.0
10632,2.670566045061593,101.0
10639,2.1741114859420225,58.0
10647,3.3380638411591628,100.0
10657,3.239896957165819,92.0
10659,2.5744352272364948,77.0
10661,3.230058616256786,88.0
10663,2.2705877110779142,70.0
10678,2.1263235377268686,63.0
10684,2.562428325334687,84.0
10698,3.138568211718937,101.0
10701,2.6938901833329876,52.0
10716,3.0596176970585023,83.0
10726,1.5204193478333954,79.0
10733,3.1867045976134802,107.0
10741,3.22829922722244,52.0
10776,3.196945969699407,110.0
10784,2.707860201248387,60.0
10794,2.7694325564973483,75.0
10801,3.01535596303575,107.0
10804,2.848805236295066,80.0
10805,1.6471963775958585,74.0
10807,2.5909612595939366,61.0
10817,2.8858623796866976,89.0
10835,1.9612086930778014,56.0
10838,2.7830361275419238,70.0
10850,2.703803936454218,81.0
10197,1.6587748697372329,64.0
10272,2.3257579446727448,77.0
10298,3.317776715310619,104.0
10390,2.5531612310887417,54.0
10497,2.5421425360078347,71.0
10504,3.3849104970349333,113.0
10512,3.166333508011653,159.0
10515,2.6044089769489625,71.0
10562,3.205519414229791,83.0
10583,3.0719678678977265,83.0
10587,1.1341984174483744,108.0
10788,3.1858363545040587,117.0
10797,2.276035091173026,72.0
10802,2.9306501354037198,97.0
10808,2.918999676409294,78.0
10832,3.0752008624346576,94.0
10869,2.8045767327700526,95.0
10889,3.0712416973983196,75.0
10890,2.7504435594709165,70.0
10907,2.841536084488381,84.0
10913,2.9104491919138007,76.0
10924,2.957329978534422,64.0
10947,2.8492283169492354,87.0
10968,3.2289417491714616,76.0
10976,3.1058710447900046,96.0
10990,2.300157631752326,53.0
11031,2.431624199599457,93.0
11035,3.339984317244397,75.0
11049,2.3490660876261593,59.0
11057,3.0936207768742676,86.0
11062,2.4259278643624316,81.0
11106,2.188190335571784,60.0
11124,3.2912530286575308,90.0
11159,2.7091907911843167,54.0
11168,2.515966574433688,94.0
11170,2.6389107352905294,88.0
11171,2.4785916384043754,32.0
11203,2.8846645941369595,93.0
11209,3.3208053280237833,97.0
11210,3.115227097908452,75.0
11213,2.8566381311860076,83.0
11223,3.0356290688772973,85.0
11226,2.8904216660307385,75.0
11227,3.1929255256318383,122.0
11243,2.034818752401362,20.0
11255,3.01359525918367,92.0
11294,2.843203207745751,123.0
11299,2.812807884751003,81.0
11311,3.017451511304209,87.0
11343,2.583387796105063,103.0
11354,3.021032674484325,102.0
11369,2.5667498372254136,79.0
11379,2.930133592309596,98.0
11389,3.132136409375218,90.0
11409,2.9280459530899314,74.0
11413,2.6281563691819354,61.0
11419,2.5054310316090715,65.0
11431,2.8080610638615235,82.0
11432,2.902551159704277,109.0
11434,2.5523850736961005,58.0
11448,2.721813622696549,69.0
11449,3.230432085438453,94.0
11450,2.912780373276629,99.0
11451,2.4823832869828224,76.0
11452,2.94311339015991,79.0
11454,3.1905279489629805,107.0
11459,3.099685379469049,117.0
11464,2.516997888481989,79.0
11467,1.7638877902102028,86.0
11473,3.4740360538943893,114.0
11475,3.2313529920251085,86.0
11477,3.462408184793764,100.0
11480,2.379678671828137,56.0
11486,2.4880593078152216,90.0
11487,3.0838301585121877,112.0
11489,2.731776623517355,84.0
11492,3.1451766426251644,93.0
11495,2.583693383432751,72.0
11501,1.7627667056043999,95.0
11513,2.5404179960301327,65.0
11521,3.143412151397801,78.0
11524,3.140985032612558,101.0
11526,2.566885700141593,80.0
11527,2.884454282146326,101.0
11528,2.7964743472266473,83.0
11580,2.5206730748703445,75.0
11607,2.876431875277353,112.0
11626,2.7584658631272725,82.0
11638,2.5154685780583916,78.0
11641,3.2205535938011227,94.0
11675,3.0228024705031076,81.0
11682,3.265069165070447,103.0
11694,2.8788706237471815,78.0
11710,2.6311959666398983,38.0
11720,2.883562135973087,83.0
11754,2.6311010234431262,75.0
11788,1.8186340597673636,64.0
11796,2.3532478357904556,88.0
11818,2.5057991166314175,55.0
11821,2.6746514837246473,60.0
11822,2.678624368953025,58.0
11873,3.261456991695391,95.0
11885,2.921731805194537,92.0
11927,3.006203619349846,74.0
11942,3.149700651282623,91.0
11955,3.1402927717064615,104.0
11965,3.000281325239644,92.0
11984,3.026793568692253,87.0
11996,2.6331119389888467,71.0
12016,3.0287998557208287,90.0
12070,2.700588233755497,63.0
12082,2.8515483843361817,84.0
12101,3.6149825955224584,97.0
12106,3.115844409775479,92.0
12165,2.2408850981789197,72.0
12197,3.1890695694407847,96.0
12204,3.236519289851523,94.0
12242,2.9230059051947253,78.0
12243,1.4748405756468703,17.0
12276,3.295285658349365,87.0
12340,3.042994114828881,91.0
12370,3.196201526720979,59.0
12389,2.509486203000234,78.0
12396,2.1016170779924206,42.0
