,Species_biomass,flux_healthy,percentage_flux_healthy,flux_CRC,percentage_flux_CRC,percentage_flux_diff
0,Clostridium_to_community_biomass,3.605967862677853e-06,1.9441056828804266,3.47e-06,1.943237310156355,0.0008683727240716976
1,Alistipes_to_community_biomass,5.649275406649164e-06,3.045725541787626,6.68e-06,3.740871824739035,-0.6951462829514092
2,Lachnospiraceae_to_community_biomass,1.5717063190065682e-06,0.8473628448620263,1.72e-06,0.963218493795081,-0.11585564893305467
3,Dorea_to_community_biomass,1.5940546424028649e-06,0.8594116218262572,1.53e-06,0.8568164508758568,0.002595170950400405
4,Escherichia_to_community_biomass,4.484002951869954e-06,2.4174856661948487,4.9e-06,2.7440526858115675,-0.32656701961671875
5,Bacteroides_to_community_biomass,5.603792130323449e-05,30.212038878660692,5.34e-05,29.904574167824023,0.30746471083666904
6,Barnesiella_to_community_biomass,1.3808630277817648e-06,0.7444724306545577,1.39e-06,0.778414945566955,-0.033942514912397304
7,Streptococcus_to_community_biomass,4.320869073783013e-06,2.329534383339093,3.46e-06,1.9376372026342907,0.3918971807048024
8,Dialister_to_community_biomass,1.7440638515141494e-06,0.9402869282692476,1.08e-06,0.6048116123829578,0.33547531588628987
9,Eubacterium_to_community_biomass,1.4884538001776637e-05,8.02478447348514,1.27e-05,7.112136553021818,0.9126479204633213
10,Ruminococcus_to_community_biomass,1.1512533789141358e-05,6.206816925761979,1.32e-05,7.3921419291250405,-1.1853250033630616
11,Phascolarctobacterium_to_community_biomass,2.5103186384414325e-06,1.3534021701486911,2.62e-06,1.467228170780879,-0.11382600063218784
12,Haemophilus_to_community_biomass,1.7056913461514548e-06,0.9195989441876105,1.29e-06,0.7224138703463107,0.1971850738412998
13,Roseburia_to_community_biomass,6.514795296633657e-06,3.5123581355443885,5.72e-06,3.2032615026208506,0.30909663292353784
14,Veillonella_to_community_biomass,2.1974563138066303e-06,1.18472694994581,2.39e-06,1.3384256977733973,-0.1536987478275873
15,Sutterella_to_community_biomass,1.7587225920702468e-06,0.9481899772991454,1.85e-06,1.0360198915819185,-0.08782991428277309
16,Klebsiella_to_community_biomass,1.932415276902192e-06,1.0418338888690557,1.09e-06,0.6104117199050222,0.4314221689640335
17,Collinsella_to_community_biomass,1.4610901848219318e-06,0.7877257478949679,1.8e-06,1.0080193539715963,-0.2202936060766284
18,Parabacteroides_to_community_biomass,7.939988441880537e-06,4.280730511114896,8.41e-06,4.709690426056181,-0.4289599149412844
19,Fusobacterium_to_community_biomass,1.6422871868674026e-06,0.8854155041025834,1.86e-06,1.041619999103983,-0.15620449500139955
20,Faecalibacterium_to_community_biomass,1.1011311407513705e-05,5.936590091353767,8.75e-06,4.900094081806371,1.0364960095473963
21,Bifidobacterium_to_community_biomass,9.22836405963268e-06,4.975339685556195,6.27e-06,3.5112674163343938,1.4640722692218011
22,Subdoligranulum_to_community_biomass,8.985756642073799e-06,4.844541387527299,8.53e-06,4.776891716320954,0.06764967120634502
23,Prevotella_to_community_biomass,1.5111971136565446e-05,8.147401775318187,1.62e-05,9.072174185744366,-0.9247724104261792
24,Megamonas_to_community_biomass,4.229134653568537e-06,2.2800770907490633,5.22e-06,2.9232561265176296,-0.6431790357685663
