,metabolite,reaction,flux_healthy,flux_CRC,flux_diff,perc_flux_diff
380,co2_medium,EX_co2_medium,-0.0030228487362285,-0.0028019071028638,-0.00022094163336469977,7.586296815460343
470,ppa_medium,EX_ppa_medium,-0.0013500680803917,-0.0011676808250272,-0.00018238725536450016,14.48812111262976
405,for_medium,EX_for_medium,-0.0016159377215598,-0.0015068603129713,-0.00010907740858850002,6.985876600558218
463,nh4_medium,EX_nh4_medium,-0.0017503873215854,-0.0016736534017356,-7.67339198497999e-05,4.482068179105951
429,h2_medium,EX_h2_medium,-0.000935795544667,-0.0008671264765316,-6.866906813540003e-05,7.617530578471516
349,ac_medium,EX_ac_medium,-0.0025077865235034,-0.0024478123529417,-5.9974170561700145e-05,2.420461060590224
373,but_medium,EX_but_medium,-0.0004185702620701,-0.0003646676214234,-5.390264064670001e-05,13.764053497074583
477,rbflvrd_medium,EX_rbflvrd_medium,-0.0002976987745953,-0.0002475313191938,-5.016745540149998e-05,18.40230609901192
419,glyc_medium,EX_glyc_medium,-6.0781351369172296e-05,-4.688058044335136e-05,-1.3900770925820935e-05,25.823001114315776
502,cpd11416_medium,community_biomass,-0.0001854820905278,-0.0001786385536242,-6.8435369035999775e-06,3.758939249126003
333,Tn_antigen_medium,EX_Tn_antigen_medium,-9.458963628891291e-06,-4.317717829797088e-06,-5.141245799094203e-06,74.63692638188762
351,acgal_medium,EX_acgal_medium,-8.318103660247004e-06,-5.55647307762283e-06,-2.7616305826241745e-06,39.80850205089814
239,MGlcn46_rl_medium,EX_MGlcn46_rl_medium,-1e-06,0.0,-1e-06,200.0
187,MGlcn20_rl_medium,EX_MGlcn20_rl_medium,-2.6157889741401933e-06,-2e-06,-6.157889741401934e-07,26.681851254038303
238,MGlcn46_medium,EX_MGlcn46_medium,-1.697531657170878e-07,0.0,-1.697531657170878e-07,200.0
379,chol_medium,EX_chol_medium,-2.71211746803466e-07,-2.047307583100237e-07,-6.648098849344231e-08,27.936562832348727
452,meoh_medium,EX_meoh_medium,-0.000195,-0.0001949999999999,-9.999054535747565e-17,5.127720274743656e-11
495,tma_medium,EX_tma_medium,-2.0000000000000003e-06,-1.9999999999999995e-06,-8.470329472543003e-22,4.235164736271502e-14
320,MGlcn94_rl_medium,EX_MGlcn94_rl_medium,0.0,0.0,0.0,
321,MGlcn95_medium,EX_MGlcn95_medium,0.0,0.0,0.0,
322,MGlcn95_rl_medium,EX_MGlcn95_rl_medium,0.0,0.0,0.0,
356,agam1b3agal_medium,EX_agam1b3agal_medium,0.0,0.0,0.0,
324,MGlcn96_rl_medium,EX_MGlcn96_rl_medium,0.0,0.0,0.0,
360,alltn_medium,EX_alltn_medium,0.0,0.0,0.0,
325,MGlcn97_medium,EX_MGlcn97_medium,0.0,0.0,0.0,
323,MGlcn96_medium,EX_MGlcn96_medium,0.0,0.0,0.0,
319,MGlcn94_medium,EX_MGlcn94_medium,0.0,0.0,0.0,
317,MGlcn93_medium,EX_MGlcn93_medium,0.0,0.0,0.0,
326,MGlcn97_rl_medium,EX_MGlcn97_rl_medium,0.0,0.0,0.0,
316,MGlcn92_rl_medium,EX_MGlcn92_rl_medium,0.0,0.0,0.0,
315,MGlcn92_medium,EX_MGlcn92_medium,0.0,0.0,0.0,
361,amylopect900_medium,EX_amylopect900_medium,0.0,0.0,0.0,
314,MGlcn91_rl_medium,EX_MGlcn91_rl_medium,0.0,0.0,0.0,
313,MGlcn91_medium,EX_MGlcn91_medium,0.0,0.0,0.0,
312,MGlcn90_rl_medium,EX_MGlcn90_rl_medium,0.0,0.0,0.0,
311,MGlcn90_medium,EX_MGlcn90_medium,0.0,0.0,0.0,
310,MGlcn89_rl_medium,EX_MGlcn89_rl_medium,0.0,0.0,0.0,
309,MGlcn89_medium,EX_MGlcn89_medium,0.0,0.0,0.0,
308,MGlcn87_rl_medium,EX_MGlcn87_rl_medium,0.0,0.0,0.0,
318,MGlcn93_rl_medium,EX_MGlcn93_rl_medium,0.0,0.0,0.0,
327,MGlcn98_medium,EX_MGlcn98_medium,0.0,0.0,0.0,
330,MGlcn99_rl_medium,EX_MGlcn99_rl_medium,0.0,0.0,0.0,
329,MGlcn99_medium,EX_MGlcn99_medium,0.0,0.0,0.0,
354,agal1b3agal_medium,EX_agal1b3agal_medium,0.0,0.0,0.0,
353,adocbl_medium,EX_adocbl_medium,0.0,0.0,0.0,
352,acnam2a6agal_medium,EX_acnam2a6agal_medium,0.0,0.0,0.0,
357,agam1b6agal_medium,EX_agam1b6agal_medium,0.0,0.0,0.0,
348,_5mthf_medium,EX__5mthf_medium,0.0,0.0,0.0,
347,_5htrp_medium,EX__5htrp_medium,0.0,0.0,0.0,
346,_4hoxpacd_medium,EX__4hoxpacd_medium,0.0,0.0,0.0,
345,_4hbz_medium,EX__4hbz_medium,0.0,0.0,0.0,
358,ala_D_medium,EX_ala_D_medium,0.0,0.0,0.0,
344,_4abz_medium,EX__4abz_medium,0.0,0.0,0.0,
328,MGlcn98_rl_medium,EX_MGlcn98_rl_medium,0.0,0.0,0.0,
342,_3hpppn_medium,EX__3hpppn_medium,0.0,0.0,0.0,
340,_34dhphe_medium,EX__34dhphe_medium,0.0,0.0,0.0,
339,_34dhpha_medium,EX__34dhpha_medium,0.0,0.0,0.0,
338,_2hyoxplac_medium,EX__2hyoxplac_medium,0.0,0.0,0.0,
337,_2dmmq8_medium,EX__2dmmq8_medium,0.0,0.0,0.0,
336,_15dap_medium,EX__15dap_medium,0.0,0.0,0.0,
335,_13ppd_medium,EX__13ppd_medium,0.0,0.0,0.0,
307,MGlcn87_medium,EX_MGlcn87_medium,0.0,0.0,0.0,
332,T_antigen_medium,EX_T_antigen_medium,-1e-06,-1e-06,0.0,-0.0
331,Ser_Thr_medium,EX_Ser_Thr_medium,0.0,0.0,0.0,
355,agal1b6agal_medium,EX_agal1b6agal_medium,0.0,0.0,0.0,
341,_3hphac_medium,EX__3hphac_medium,0.0,0.0,0.0,
334,Tyr_ggn_medium,EX_Tyr_ggn_medium,0.0,0.0,0.0,
303,MGlcn85_medium,EX_MGlcn85_medium,0.0,0.0,0.0,
305,MGlcn86_medium,EX_MGlcn86_medium,0.0,0.0,0.0,
272,MGlcn69_rl_medium,EX_MGlcn69_rl_medium,0.0,0.0,0.0,
271,MGlcn69_medium,EX_MGlcn69_medium,0.0,0.0,0.0,
270,MGlcn68_rl_medium,EX_MGlcn68_rl_medium,0.0,0.0,0.0,
269,MGlcn68_medium,EX_MGlcn68_medium,0.0,0.0,0.0,
268,MGlcn66_rl_medium,EX_MGlcn66_rl_medium,0.0,0.0,0.0,
267,MGlcn66_medium,EX_MGlcn66_medium,0.0,0.0,0.0,
266,MGlcn64_rl_medium,EX_MGlcn64_rl_medium,0.0,0.0,0.0,
265,MGlcn64_medium,EX_MGlcn64_medium,0.0,0.0,0.0,
264,MGlcn62_rl_medium,EX_MGlcn62_rl_medium,0.0,0.0,0.0,
263,MGlcn62_medium,EX_MGlcn62_medium,0.0,0.0,0.0,
262,MGlcn61_rl_medium,EX_MGlcn61_rl_medium,0.0,0.0,0.0,
261,MGlcn61_medium,EX_MGlcn61_medium,0.0,0.0,0.0,
273,MGlcn6_medium,EX_MGlcn6_medium,0.0,0.0,0.0,
260,MGlcn5_rl_medium,EX_MGlcn5_rl_medium,0.0,0.0,0.0,
258,MGlcn58_medium,EX_MGlcn58_medium,-2e-06,-2e-06,0.0,-0.0
257,MGlcn57_rl_medium,EX_MGlcn57_rl_medium,-2e-06,-2e-06,0.0,-0.0
256,MGlcn57_medium,EX_MGlcn57_medium,-2e-06,-2e-06,0.0,-0.0
255,MGlcn56_rl_medium,EX_MGlcn56_rl_medium,0.0,0.0,0.0,
254,MGlcn56_medium,EX_MGlcn56_medium,0.0,0.0,0.0,
253,MGlcn55_rl_medium,EX_MGlcn55_rl_medium,0.0,0.0,0.0,
252,MGlcn55_medium,EX_MGlcn55_medium,0.0,0.0,0.0,
501,xylan_medium,EX_xylan_medium,0.0,0.0,0.0,
250,MGlcn53_medium,EX_MGlcn53_medium,0.0,0.0,0.0,
249,MGlcn51_rl_medium,EX_MGlcn51_rl_medium,0.0,0.0,0.0,
248,MGlcn51_medium,EX_MGlcn51_medium,0.0,0.0,0.0,
247,MGlcn50_rl_medium,EX_MGlcn50_rl_medium,0.0,0.0,0.0,
259,MGlcn58_rl_medium,EX_MGlcn58_rl_medium,-2e-06,-2e-06,0.0,-0.0
306,MGlcn86_rl_medium,EX_MGlcn86_rl_medium,0.0,0.0,0.0,
274,MGlcn6_rl_medium,EX_MGlcn6_rl_medium,0.0,0.0,0.0,
276,MGlcn70_rl_medium,EX_MGlcn70_rl_medium,0.0,0.0,0.0,
304,MGlcn85_rl_medium,EX_MGlcn85_rl_medium,0.0,0.0,0.0,
363,arabinogal_medium,EX_arabinogal_medium,0.0,0.0,0.0,
302,MGlcn84_rl_medium,EX_MGlcn84_rl_medium,0.0,0.0,0.0,
301,MGlcn84_medium,EX_MGlcn84_medium,0.0,0.0,0.0,
300,MGlcn83_rl_medium,EX_MGlcn83_rl_medium,0.0,0.0,0.0,
299,MGlcn83_medium,EX_MGlcn83_medium,0.0,0.0,0.0,
298,MGlcn82_rl_medium,EX_MGlcn82_rl_medium,0.0,0.0,0.0,
297,MGlcn82_medium,EX_MGlcn82_medium,0.0,0.0,0.0,
296,MGlcn80_rl_medium,EX_MGlcn80_rl_medium,0.0,0.0,0.0,
295,MGlcn80_medium,EX_MGlcn80_medium,0.0,0.0,0.0,
294,MGlcn79_rl_medium,EX_MGlcn79_rl_medium,0.0,0.0,0.0,
293,MGlcn79_medium,EX_MGlcn79_medium,0.0,0.0,0.0,
275,MGlcn70_medium,EX_MGlcn70_medium,0.0,0.0,0.0,
290,MGlcn77_rl_medium,EX_MGlcn77_rl_medium,0.0,0.0,0.0,
288,MGlcn76_rl_medium,EX_MGlcn76_rl_medium,0.0,0.0,0.0,
287,MGlcn76_medium,EX_MGlcn76_medium,0.0,0.0,0.0,
286,MGlcn75_rl_medium,EX_MGlcn75_rl_medium,0.0,0.0,0.0,
285,MGlcn75_medium,EX_MGlcn75_medium,0.0,0.0,0.0,
284,MGlcn74_rl_medium,EX_MGlcn74_rl_medium,0.0,0.0,0.0,
283,MGlcn74_medium,EX_MGlcn74_medium,0.0,0.0,0.0,
282,MGlcn73_rl_medium,EX_MGlcn73_rl_medium,0.0,0.0,0.0,
281,MGlcn73_medium,EX_MGlcn73_medium,0.0,0.0,0.0,
280,MGlcn72_rl_medium,EX_MGlcn72_rl_medium,0.0,0.0,0.0,
279,MGlcn72_medium,EX_MGlcn72_medium,0.0,0.0,0.0,
278,MGlcn71_rl_medium,EX_MGlcn71_rl_medium,0.0,0.0,0.0,
277,MGlcn71_medium,EX_MGlcn71_medium,0.0,0.0,0.0,
289,MGlcn77_medium,EX_MGlcn77_medium,0.0,0.0,0.0,
364,arabttr_medium,EX_arabttr_medium,0.0,0.0,0.0,
370,btd_RR_medium,EX_btd_RR_medium,0.0,0.0,0.0,
366,arsenb_medium,EX_arsenb_medium,0.0,0.0,0.0,
464,ni2_medium,EX_ni2_medium,0.0,0.0,0.0,
462,ncam_medium,EX_ncam_medium,0.0,0.0,0.0,
461,na1_medium,EX_na1_medium,0.0,0.0,0.0,
460,n2o_medium,EX_n2o_medium,-5e-07,-5e-07,0.0,-0.0
459,n2_medium,EX_n2_medium,0.0,0.0,0.0,
458,mso3_medium,EX_mso3_medium,0.0,0.0,0.0,
457,mops_medium,EX_mops_medium,0.0,0.0,0.0,
456,mnl_medium,EX_mnl_medium,0.0,0.0,0.0,
455,metsox_S_L_medium,EX_metsox_S_L_medium,0.0,0.0,0.0,
454,metsox_R_L_medium,EX_metsox_R_L_medium,0.0,0.0,0.0,
453,met_D_medium,EX_met_D_medium,0.0,0.0,0.0,
451,mantr_medium,EX_mantr_medium,0.0,0.0,0.0,
450,malttr_medium,EX_malttr_medium,0.0,0.0,0.0,
449,malt_medium,EX_malt_medium,0.0,0.0,0.0,
448,lmn30_medium,EX_lmn30_medium,0.0,0.0,0.0,
447,lmn2_medium,EX_lmn2_medium,0.0,0.0,0.0,
446,lanost_medium,EX_lanost_medium,0.0,0.0,0.0,
445,lac_L_medium,EX_lac_L_medium,0.0,0.0,0.0,
444,lac_D_medium,EX_lac_D_medium,0.0,0.0,0.0,
443,ispre_medium,EX_ispre_medium,0.0,0.0,0.0,
442,isoval_medium,EX_isoval_medium,0.0,0.0,0.0,
441,isochol_medium,EX_isochol_medium,0.0,0.0,0.0,
440,isocapr_medium,EX_isocapr_medium,0.0,0.0,0.0,
439,isetac_medium,EX_isetac_medium,0.0,0.0,0.0,
437,ind3ac_medium,EX_ind3ac_medium,0.0,0.0,0.0,
465,oxa_medium,EX_oxa_medium,0.0,0.0,0.0,
436,icdchol_medium,EX_icdchol_medium,0.0,0.0,0.0,
466,pac_medium,EX_pac_medium,0.0,0.0,0.0,
469,pime_medium,EX_pime_medium,0.0,0.0,0.0,
500,val_L_medium,EX_val_L_medium,0.0,0.0,0.0,
499,uchol_medium,EX_uchol_medium,-4e-06,-4e-06,0.0,-0.0
498,tym_medium,EX_tym_medium,0.0,0.0,0.0,
497,trypta_medium,EX_trypta_medium,0.0,0.0,0.0,
496,tre_medium,EX_tre_medium,0.0,0.0,0.0,
493,thf_medium,EX_thf_medium,0.0,0.0,0.0,
492,tdchola_medium,EX_tdchola_medium,0.0,0.0,0.0,
491,tchola_medium,EX_tchola_medium,0.0,0.0,0.0,
490,taur_medium,EX_taur_medium,0.0,0.0,0.0,
489,sulfac_medium,EX_sulfac_medium,0.0,0.0,0.0,
487,strch2_medium,EX_strch2_medium,0.0,0.0,0.0,
486,srtn_medium,EX_srtn_medium,0.0,0.0,0.0,
485,so3_medium,EX_so3_medium,-1e-06,-1e-06,0.0,-0.0
484,ser_D_medium,EX_ser_D_medium,0.0,0.0,0.0,
